Publication Year,Alpine,Ice,Other,Rock
1990,34,12,11,24
1991,40,11,12,27
1992,44,12,10,24
1993,38,17,10,33
1994,39,7,16,27
1995,43,4,19,38
1996,47,15,15,37
1997,32,4,11,32
1998,47,20,11,25
1999,28,13,14,39
2000,42,13,7,25
2001,46,16,9,37
2002,52,17,8,35
2003,33,13,4,23
2004,40,10,9,27
2005,44,17,14,33
2006,32,7,3,25
2007,21,3,9,15
2008,32,5,8,24
2009,29,5,6,31
2010,33,13,14,41
2011,31,13,17,43
2012,32,5,10,52
2013,34,4,15,47
2014,38,7,12,49
2015,32,8,17,42
2016,46,10,12,62
2017,41,16,3,59
2018,24,1,5,41
2019,26,3,8,32
