Publication Year,Deadly,Minor,Moderate,Serious,Unknown
1990,31,8,5,34,3
1991,34,4,11,37,4
1992,31,4,13,38,4
1993,36,5,5,49,3
1994,36,3,13,34,3
1995,40,2,13,42,7
1996,35,7,16,45,11
1997,29,3,7,31,9
1998,48,4,9,39,3
1999,24,8,14,42,6
2000,34,1,7,42,3
2001,39,1,17,50,1
2002,38,5,16,48,5
2003,38,1,4,27,3
2004,33,3,7,39,4
2005,44,7,7,44,6
2006,31,5,3,27,1
2007,23,3,5,16,1
2008,20,2,13,29,5
2009,23,0,7,34,7
2010,27,6,16,48,4
2011,40,5,14,40,5
2012,30,9,20,37,3
2013,27,4,15,48,6
2014,32,5,22,40,7
2015,28,2,9,55,5
2016,46,5,13,55,11
2017,34,7,19,57,2
2018,20,5,8,35,3
2019,14,5,8,39,3
