name,aliases,country,province,lat,lon,Route,URL
2. Southwest Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73051,-119.63828,The Nose,https://www.mountainproject.com/route/105924807/the-nose
1. Northwest Face,D. Half Dome|Valley South Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.74685,-119.5336,Regular Northwest Face of Half Dome (RNWF),https://www.mountainproject.com/route/105912416/regular-northwest-face-of-half-dome-rnwf
2. Southwest Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73051,-119.63828,Salathé Wall,https://www.mountainproject.com/route/106154042/salathe-wall
Ancient Art,Fisher Towers|Grand County|Southeast Utah|Utah,United States,Utah,38.72161,-109.30434,Stolen Chimney,https://www.mountainproject.com/route/105717310/stolen-chimney
Moonlight Buttress,Zion National Park|Southwest Utah|Utah,United States,Utah,37.27785,-112.94955,The Moonlight Buttress (Clean Aid),https://www.mountainproject.com/route/105717718/the-moonlight-buttress-clean-aid
Grand Wall Area,Stawamus Chief|Squamish|British Columbia|North America|International,Canada,British Columbia,49.68218,-123.14798,The Grand Wall,https://www.mountainproject.com/route/105806397/the-grand-wall
3. Southeast Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.72954,-119.63438,Zodiac,https://www.mountainproject.com/route/106152347/zodiac
Cynical Pinnacle,Cathedral Spires Area|South Platte|Colorado,United States,Colorado,39.42059,-105.25164,Wunsch's Dihedral,https://www.mountainproject.com/route/105752347/wunschs-dihedral
Moses,Taylor Canyon|Island In The Sky|San Juan County|Southeast Utah|Utah,United States,Utah,38.47567,-109.91054,Primrose Dihedrals,https://www.mountainproject.com/route/105717748/primrose-dihedrals
Central Royal Arches,Royal Arches|H. Royal Arches Area|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.74724,-119.57128,Royal Arches (5.10- or 5.7 A0),https://www.mountainproject.com/route/105862881/royal-arches-510-or-57-a0
Miscellaneous Castlewood Boulder problems,Bouldering problems|Castlewood Canyon SP|Denver South|Colorado,United States,Colorado,39.31677,-104.73933,Little Devil,https://www.mountainproject.com/route/105758724/little-devil
2. Southwest Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73051,-119.63828,Lurking Fear,https://www.mountainproject.com/route/106110258/lurking-fear
Lost Arrow Spire,E. Yosemite Falls Area|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.75604,-119.5941,Lost Arrow Tip,https://www.mountainproject.com/route/105912192/lost-arrow-tip
Moby Grape Area,*Cannon Cliff|New Hampshire,United States,New Hampshire,44.15838,-71.6846,Vertigo,https://www.mountainproject.com/route/105888753/vertigo
(s) Monkey Face,Smith Rock|Central Oregon|Oregon,United States,Oregon,44.37053,-121.14363,Pioneer Route,https://www.mountainproject.com/route/105791058/pioneer-route
