ID,Accident Title,Publication Year,Text,Tags Applied,Country,State_Province,Country_std,State_Province_std,location_name,matched_phrase,lat,lon,climb_tags,climb_primary,Helmet,Rope
13,"Fall on Rock, Climbing Solo, No Hard Hat, Quebec, Charlevoix Mountains, Mont du Gros Bras",1990.0,"Quebec, Charlevoix Mountains, Mont du Gros Bras
On September 3, 1989, at 1645, Alain S. (29) was climbing solo on Hallunbeinbrunch, a difficult 300-meter route. He was wearing a harness with some hardware, but no helmet. About 100 meters from the start, he came off and fell all the way to the ground, hitting a few ledges on the way down. After a brief search, other climbers found him in the woods about 12 meters below the start of the route. He was still breathing when found. First aid was applied to his numerous head wounds, and he was carried by stretcher to the road, where an ambulance picked him up and took him to hospital. He died the next morning of multiple skull fractures. (Source: Denis Gravel, Federation Quebecois de la Montagne)
Analysis
We will never really know what caused Alain’s fall. However, the morning of the same day, he had climbed another route on Mont du Gros Bras with a companion. His decision to make a solo climb of another route at the end of the day is probably an underlying cause of the accident. Fatigue from the previous ascent (another 300-meter route) as well as the short time until darkness (at 1845) were probably factors that contributed to his fall.
Alain was a good climber. He was also one of the new generation of climbers who disregard danger in the interest of performance. This was not his first solo, nor his first fall. Solo climbing always carries risks, and those who do it must realize that the smallest error can be fatal. (Source: Denis Gravel, Federation Quebecoise de la Montagne)","Deadly, Serious, Unroped , Solo, No Helmet, Late in Day, Fatigue",CA,Quebec,Canada,Quebec,,,,,[],unknown,no_helmet,no_rope
127,"Slip on Scree and Rock, Unprotected, Alberta, Rocky Mountains, Mount Temple",1991.0,"Alberta, Rocky Mountains, Mount Temple
On August 13, 1990, a lone climber was descending the “tourist route” on Mount Temple. It is speculated that he went slightly off route at the grey cliff band where the scree trails branch off in various directions, slipped on scree overlying bedrock, and fell down cliffs approximately 65 meters. Another party later discovered his body and reported to the Banff Warden Service. They evacuated the body the same day.
Analysis
Although this is a fairly easy descent route, it requires knowledge of route-finding skills through dangerous terrain. (Source: Marc Ledwidge, Warden Service, Banff National Park)","Deadly, Descent, Unroped , Alpine/Mountaineering, Off-route",CA,Alberta,Canada,Alberta,,,,,[],unknown,unknown,unknown
211,"Fall on Snow, Unroped, Inadequate Equipment, British Columbia, Coast Mountains, The Lions",1992.0,"British Columbia, Coast Mountains, The Lions
Dan J. and Kris J. were descending crusty snow after a climb about midafternoon on January 20, 1991, when Dan fell, and slid about 100 meters before he struck a tree. He sustained back, leg, and neck injuries. Kris descended to Lions Bay, the nearest village, where rescue operations were started at 1650. Ground support was provided by Lions Bay SAR and the North Shore Rescue Team, and an Armed Forces helicopter summoned from Comox picked up the injured climber about 2230 by the light of flares dropped from a second aircraft. He was flown directly to a hospital in Vancouver, where he was released the following day after treatment. (Source: Ian Kay, Vancouver)
Analysis
Again, details of this incident are unknown, but it appears that the seriousness of the terrain was underestimated. Considering the result of this slip, it would have been prudent for the climbers to take better precautions to protect themselves while moving through it. It appears that they did not have crampons, ice axes, or a rope. (Source: Orvel Miskiw, ACC Calgary Section)","Serious, Descent, Unroped , Solo, Alpine/Mountaineering, Visibility, Inadequate Equipment",CA,British Columbia,Canada,British Columbia,Mount Waddington | aliases: Waddington Range|Coast Mountains|British Columbia|North America|International,coast mountains,51.3732,-125.26319,[],unknown,unknown,unknown
222,"Slip on Snow, Unroped, Inadequate Equipment, Exceeding Abilities, Inexperience, Alberta, Rocky Mountains, Mount Niblock",1992.0,"Alberta, Rocky Mountains, Mount Niblock
A party of four were making an ascent of Mount Niblock on July 14, 1991. While traversing an upper slope covered with snow, one of them slipped and slid 200 meters down the slope, over a 25 meter buttress, and finally slid a further 30 meters down a snow slope below that. His companions descended to help him, and two stayed with him while the third ran down to summon help. The victim was slung out by helicopter to a waiting ambulance. His injuries included a fractured femur. (Source: Banff National Park Warden Service)
Analysis
The group was not properly equipped, having only running shoes for footwear and light-weight clothing. They proceeded onto a large, steep snow slope in the heat of the day and encountered very rotten snow conditions. Inexperience was the contributing cause of the accident. Another member of this party had slid down a snow slope and injured himself the previous week. A late spring resulted in a number of snow-related incidents in the area. (Source: Banff National Park Warden Service)
(Editor’s Note: It would appear that this was a group of non-climbers who had set out for what they thought would he a walk. No mention of ice axes appears in the report.)","No/Little, Serious, Unroped , Solo, Alpine/Mountaineering, Visibility, Inadequate Equipment",CA,Alberta,Canada,Alberta,,,,,[],unknown,unknown,unknown
370,"Avalance, Poor Choice of Route, Alberta, Rocky Mountains, Plain of Six Glaciers",1994.0,"Two climbers visiting from Europe attempted to reach Abbot s Pass from Lake Louise on May 11, 1993. They turned around due to the evident avalanche hazard, but on the way back they were hit by a large class-three wet avalanche as they crossed a ledge on the summer trail.
J.U. (29) was near the edge of the slide and escaped by pasting himself under a slight overhang, where the avalanche roared over him. His female companion was swept over a short cliff and carried about 100 meters, but luckily ended up on top of the huge deposit with no serious injuries other than a broken leg. J.U. relocated her to a safer spot and went for help.
Analysis
It is unusual for people to approach Abbot's Pass this early in the season. They realized the difficulties of the glaciated basin known locally as the “Deathtrap” as they approached it, but were avalanched late in the afternoon of a hot spring day, on what appeared to be relatively tame ground on the way back down the valley. Also, following the summer trail put them in a position of crossing an obvious huge slide path on dangerously exposed ledges, while an alternative route was available. (Source: Banff National Park Warden Service)","Serious, Minor, Alpine/Mountaineering, Poor Cond/Seasonal Risk, Avalanche",CA,Alberta,Canada,Alberta,,,,,[],unknown,unknown,unknown
468,"Fall on Rock, Faulty Use of Crampons—Failed to Put Them on, Alberta, Rocky Mountains, Mount Collier",1995.0,"Alberta, Rocky Mountains, Mount Collier
Two climbers, R.H. and H.B. (50), were descending Mt. Collier (3216 meters) on July 25, 1994, roped together. H.B. belayed R.H. across a 40-degree snow and ice slope, then luckily asked for a belay while he crossed it himself. As he was about to move from steep rock onto the snow, he slipped and fell on his back among rocks, then slid and rolled about 12 meters over rocks before being stopped by the rope and swinging over onto the snow. He sustained painful back injuries through which he temporarily lost color vision and the use of his legs, so he was unable to continue. H.B. is certain that, without the belay, he would have dragged R.H. over a high cliff. R.H. lowered H.B. to a rock step, tied him in to an anchor, and descended alone to get help. H.B. was evacuated later that afternoon by the Banff Park Warden Service, using a helicopter and sling. He soon regained his normal vision, but spent several months recovering full physical mobility, and still had residual back pains eight months later.
Analysis
The line chosen for the traverse which R.H. and H.B. were doing at the time of the accident was awkward, so the mishap may have been avoided if they had taken a different route. The rock was steep and wet, with poor ledges and holds. Also, the fall may have been prevented if H.B. had been wearing his crampons instead of carrying them on his pack. As it is, it seems they were responsible for most of his back injuries without actually penetrating. He fell on them, causing severe pressure points in his back. In any case, if the traverse had been protected, any slip which did occur would possibly have been neutralized. (Source: H.B., the victim)","Serious, Descent, Roped, Alpine/Mountaineering, Crampon Issues",CA,Alberta,Canada,Alberta,,,,,[],unknown,unknown,rope
603,"Rappel Error—Only Clipped into One Rope, No Belay, Ontario, Milton, Kelso Conservation Area, ""Jolly Rodger"" Route",1996.0,"Ontario, Milton, Kelso Conservation Area, “Jolly Rodger” Route
Two climbers, S. H. and W. T. from Mississauga, finished climbing the route “Jolly Rodger” around 1400 on August 23, and decided to rappel down the route. S. H. would go first, but declined a safety belay which W. T. offered him. A tree was slung with a piece of webbing, the doubled rope was secured to it with two non-locking carabiners, and then S. H. clipped his descender in to the rope. But as he leaned back to start the rappel, one side of the rope slid up through the anchor carabiners, and S. H. fell some 20 meters to the ground; he had clipped in only one side of the rappel rope. Nearby climbers assisted and ran to the lifeguard station for help, and rescue personnel reached the victim within minutes, but S. H. did not revive, and was pronounced dead on arrival at the hospital at 1500.
Analysis
S. H.’s level of rappel experience is not known, so his error could have resulted from either unfamiliarity or haste. While there were easy ways down from the top, W. T. offered a safer approach to rappelling in the form of a top belay.
Every aspect of the rappel system is important and should be verified, including the harness, the clip-in, the threading of the descender, the rope, the anchor attachment, and the anchor itself, before a commitment is made. In this case, the tree may have been adequate as a single anchor, but use of two separate slings is recommended, as is the use of two locked safety carabiners or two standard carabiners with gates outward and opposite. Also, partners should thoroughly check each others setup. Finally, S. H. did not wear a helmet, which could have saved his life. (Source: Robert Stock, Ontario Climbing Instructor)","No/Little, Deadly, Descent, Roped, Trad Climbing, Rappel Error",CA,Ontario,Canada,Ontario,,,,,[],unknown,unknown,rope
760,"Fall Into River, British Columbia, Jasper National Park, North Boundary Trail Hike",1998.0,"British Columbia, Jasper National Park, North Boundary Trail Hike
D.H. and S.K. (from Germany) were hiking the north boundary trail of Jasper National Park. The summer had been extremely rainy and the rivers were all in flood. On July 12, they had crossed over Snake Indian Pass and were heading down valley to a campsite on the shores of Twintree Creek. The campsite was flooded due to high water levels in the creek. Normally this creek can be crossed with high gumboots, but at this time, the water was very high and fast. A foot bridge, consisting of two stringers, was in place to cross the creek, but water was overlapping the bridge. Deciding to push on to the next campsite, S.K. started to cross the bridge by straddling it, and shuffling across it. Once across, D.H. started across using the same technique. Both women were carrying heavy packs with waist straps done up.
Midway across, D.H. got stuck on a knot on one of the logs, and could not proceed.
With cold water lapping up to her waist, she soon lost strength and let go, falling into the creek. She floated down a short way, and was able to grab onto a sweeper, but again lost her grip, and was carried down stream. Meanwhile, S.K. attempted to help her, but eventually lost sight of her. She combed the shore for two hours, then proceeded to hike out for help. It took her two days to reach Mount Robson Park ranger station, (very good time) where she reported the incident. Park wardens from Jasper were notified at 1700 on July 14, and flew in to search the area for D.H. They were unable to find the body that night, but the following day, the body was located in a log jam about 70 meters downstream of the footbridge.
Analysis
Although not a climbing incident per se, this episode is included here because climbers often have to approach their objectives by crossing streams, and can treat these crossings as minor, rather than serious, obstacles. Although this creek in this incident is usually very benign, flooding from a month of heavy rain caused it to become a wild torrent. Even though it was late in the afternoon, D.H. and S.K. felt obliged to push on to the next campsite, as the upper campsite was flooded. Had they either made do in the wet campsite and tried crossing the bridge in the morning when the water level was lower, or at least undone the waist bands on their packs, this incident may have been avoided. (Source: Parks Canada Warden Service)","Deadly, Non-climbing",CA,British Columbia,Canada,British Columbia,,,,,[],unknown,unknown,unknown
792,"Rappel Error — Inadequate Anchor, Alberta, Bow Falls",1998.0,"Alberta, Bow Falls
On Feb. 23 around noon, a party of three were starting the descent of this Grade III, WI4 route. F.B. lowered J.P. and D.P. from a three-screw anchor. F.B. then proceeded to rappel from a single Simond 23-cm screw. The rope was draped over the head of the screw with the eye pointing up. A system was rigged on the screw which allows unwinding of the screw when the rope is retrieved. While on rappel, the anchor failed and F.B. fell about 60 feet onto shell ice on the intermediary ledge to which the first two had been lowered. He was complaining of a sore back. The rest of the party was assisted down by an ACMG guide also climbing the route. One person was sent to the trailhead to report the accident. A Warden Service rescue crew responded, and the injured climber was evacuated by heli-sling.
Analysis
Using a one-point rappel anchor can be risky. In this case the single screw and rope arrangement failed and it is likely that one of two things happened. Either the screw pulled out of the ice or the rappel rope slipped enough to wind the eye of the screw to a downward position, thus allowing the rope to slip off the head of the screw. If the latter happened, the rope would then continue to unwind the screw completely causing failure. The victim was fortunate that the shell ice he landed on absorbed some of his impact, likely minimizing his injuries. He was later diagnosed with only bruising injuries. (Source: Parks Canada Warden Service)","Serious, Descent, Roped, Ice Climbing, Anchor Failure / Error, Rappel Error",CA,Alberta,Canada,Alberta,,,,,[],unknown,unknown,rope
793,"Rappel Error — Inadequate Protection, Alberta, Rocky Mountains, Mount Murchison, Murchison Falls",1998.0,"Alberta, Rocky Mountains, Mount Murchison, Murchison Falls
On November 23, a party of two were beginning the rappel descent of this waterfall route (180m, V, WI4). On their third rappel, the first climber got part way down the ropes, yelled, and fell down a few hundred feet to the bottom of the route. His partner (along with another nearby party of two) continued down uneventfully. They determined from his massive head injuries that P.E. was dead and walked out for assistance. They reported the accident late that night to the Warden Service. The victim was evacuated the next morning by heli-sling.
Analysis
The climber was not using a prussik to back up his rappel and he was using an ATC to rappel on two 8.5mm ropes. The ends of the rappel ropes were not knotted. When rappelling on small diameter ropes, extra caution must be used as there is less friction and it is therefore easier to lose control of the rappel. In this case it is possible that the ropes were wet or iced, and that may have contributed to losing control of the rappel. Having no backup did not leave any room for error. (Source: Parks Canada Warden Service)","No/Little, Deadly, Head / Brain Injury, Descent, Roped, Ice Climbing, No Backup or End Knot, Inadequate Protection / Pulled, Rappel Error",CA,Alberta,Canada,Alberta,Mount Murchison | aliases: Icefields Parkway|Alberta|North America|International,mount murchison,51.91112,-116.71478,[],unknown,unknown,rope
