ID,Accident Title,Publication Year,Text,Tags Applied,Country,State_Province,Country_std,State_Province_std,location_name,matched_phrase,lat,lon,climb_tags,climb_primary,Helmet,Rope
12,"Fall on Rock, Climbing Solo, No Hard Hat, Inexperience, British Columbia, Rocky Mountains, Mount Wardle",1990.0,"British Columbia, Rocky Mountains, Mount Wardle
On June 23, 1989, Ben (21) and his brother Uli (23) decided to make an attempt to climb Mount Wardle via the East Face. After completing a very difficult bushwhack to reach the base of the climb, they worked their separate ways to the bottom of the face. Uli, who had gotten onto a ridge, hurt his ankle and decided to turn around and head back to camp, leaving his brother who wanted to continue on.
This was the last time Uli saw his brother alive. Ben continued on until he was about three quarters of the way up the face. It was at this point that he fell 300 meters to his death, ending up near the bottom of the face. The next morning, Uli notified the Kootenay Park Warden Service that his brother had not returned. The Warden Service used a Parks Rescue helicopter to sling in to the site and remove Ben’s body. (Source: Kootenay National Park Warden Service)
Analysis
Neither brother had done more than a little rock climbing. They were climbing in running shoes with no rope or other protection. The bottom part of the East Face of Mount Wardle is easy climbing, but as one gets higher on the face, the climb increases in difficulty, tending to lure an inexperienced climber into a position from which it is hard to downclimb. The fall may have been caused by rockfall or by an attempt to downclimb. (Source: Kootenay National Park Warden Service)","No/Little, Deadly, Serious, Unroped , Solo, No Helmet",CA,British Columbia,Canada,British Columbia,,,,,"['alpine', 'rock']",alpine,unknown,unknown
16,"Fall on Rock, Inadequate Protection, Ontario, Buffalo Crag",1990.0,"Ontario, Buffalo Crag
On April 30, 1989, at 1550, Larry Forsyth was leading Flying Kiwi (5.8). He placed four pieces of protection on the route, including two #6 rocks (sic) just below the crux move. Attempting the crux, he fell, and the two rocks (sic) pulled out, resulting in an eight-meter fall to the ground, with a possible mid-way ledge encounter. Larry landed on his side and buttocks, sustaining a fractured lower lumber vertebra. (Source: Larry Forsyth)
Analysis
Protection would have been better with larger rocks (sic) and perhaps with one more piece lower down. The climber was lucky to land on relatively flat ground between a sharp rock and a tree stump. Though not sustaining head injury, he should have worn his helmet. He was very fortunate to have three good climbers with first aid training in close proximity. They stabilized him to prevent further damage. (Source: Larry Forsyth)
(Editor's Note: We are not aware of “rocks” being manufactured in different sizes to be used for protection. We think the climber means “chocks. ”)","Serious, Head / Brain Injury, Roped, Trad Climbing, Inadequate Protection / Pulled",CA,Ontario,Canada,Ontario,,,,,['rock'],rock,unknown,unknown
26,"Falling Rock, British Columbia, Coast Mountains, Mount Waddington",1990.0,"British Columbia, Coast Mountains, Mount Waddington
On September 13, 1989, Richard Thomas (35) was ascending a steep snow gully at 1980 meters on Mount Waddington with two companions when a large falling rock struck him on the head, shattering his helmet and inflicting fatal injuries.
His two companions descended to lower on the mountain where three other members of the expedition were camped. They stamped out an “SOS” in the snow. This was spotted the same afternoon from a passing aircraft. A helicopter flew in that evening, but was unable to reach the victim. The five survivors were flown out the next day by helicopter, and Thomas’ body was recovered one day later by North Shore Rescue members. (Source: Ian Kay, West Vancouver, BC, from press reports)
Analysis
This appears to be the sort of accident that could only have been avoided by staying off the mountain. Falling rock is a constant hazard on Waddington, and it is not clear from the information available whether another route might have been practical and safer. The party was fortunate that its distress signal brought such a quick response. (Source: Ian Kay, West Vancouver, BC)","Deadly, Serious, Alpine/Mountaineering, Natural Rockfall",CA,British Columbia,Canada,British Columbia,Mount Waddington | aliases: Waddington Range|Coast Mountains|British Columbia|North America|International,mount waddington,51.3732,-125.26319,['alpine'],alpine,unknown,unknown
91,"Fall into Crevasse, Unroped, Public on Glacier, Alberta, Rocky Mountains, Athabasca Glacier",1991.0,"Alberta, Rocky Mountains, Athabasca Glacier
July 25, 1990, was a warm, sunny day, as a family of four from Calgary, Alberta, stopped at the Columbia Icefields in Jasper National Park and took a walk on the Athabasca Glacier. The oldest child, Tyson (10), was lightly dressed. About 1700, he ran out ahead of his parents and disappeared; he had slipped and fallen into a tapering crack and become wedged about three meters from the surface. His father ran for assistance and located a guided walking tour on the ice. The group leader returned to the crevasse with the father, set two ice screws as an anchor, and lowered himself. Being larger than the boy, he could not descend quite as far as him, but was able to secure a rope onto one of his ankles. Returning to the surface, the guide attempted, with the father, to pull the boy out, but the pressures involved caused Tyson to scream in pain, so this method of extrication was abandoned.
Park wardens were contacted at 1730, and the boy was removed, unconscious, from the crevasse, at 1848. Continuous resuscitation efforts at the scene, and later advanced life support, were unable to revive him. He was pronounced dead at 0200 the following morning.
Analysis
Hundreds of carefree tourists walk past warning signs at the toe of this glacier every year, and wander around on the surface of the ice without incident. To the general public it seems to be a straightforward and harmless activity requiring no special equipment or expertise, but a simple slip on the ice is all that was necessary to turn the natural exuberance of a child into a family tragedy. (Source: Clair Israelson, Canadian Parks Service)
(Editors Note: This accident is not included in the data, but a discussion of how it could have been prevented quickly becomes a philosophic debate on individual rights and responsibilities, and the purposes of a National Park. It seems that when visitors ignore warning signs, they take on themselves the responsibility for their own safety. In Jasper National Park, which contains innumerable hazards, the only practical alternative to warning signs and notices might be to close the entire park to visitors. If closure cannot be considered, then visitors will have to be more careful.)","Experienced, Deadly, Serious, Head / Brain Injury, Unroped , Solo, Non-climbing, Alpine/Mountaineering, Crevasse / Moat / Berschrund",CA,Alberta,Canada,Alberta,,,,,['alpine'],alpine,unknown,unknown
92,"Fall on Avalanche Debris, Fatigue, Alberta, Rocky Mountains, Mount Rundle",1991.0,"Alberta, Rocky Mountains, Mount Rundle
On March 10, 1990, after completing ice climbs of Professor’s Gully and Under the Volcano, Greg G. was descending the slopes of Mount Rundle, which are broken by cliff bands. He removed his crampons to downclimb the first cliff and continued easily down avalanche debris toward the second, where the slope dropped away toward a narrow gully.
As Greg moved to the edge of the debris to avoid the gully by continuing his descent among the trees, he lost his footing, was unable to stop, and fell down the gully. As he collided with its rock wall on his way to the hard slope 20 meters below, his helmet and one pack strap were torn off, and one arm was badly injured. He secured his arm inside a triangular bandage and his pile jacket, and began an arduous two-hour hike to the golf course, where he caught a ride to Mineral Springs Hospital in Banff. His injuries were a clean midshaft humerus fracture and a severe compound distal radius fracture.
Analysis
Greg feels he should have put his crampons back on, and that his mental concentration wavered while he was in an exposed position. He reflected that, “A climb isn’t over ‘til it’s over.” (Source: Greg S.)","Serious, Descent, Alpine/Mountaineering, Fatigue, Distracted",CA,Alberta,Canada,Alberta,,,,,"['alpine', 'ice']",alpine,unknown,unknown
103,"Fall on Rock, Insufficient Protection, Alberta, Rocky Mountains, Barrier Bluffs",1991.0,"Alberta, Rocky Mountains, Barrier Bluffs
While leading the route called Cadillac Jack on June 3, 1990, T.C. fell and struck a ledge. Her partner lowered her to the ground, where it was obvious she had severely injured her right ankle. Numerous other climbers assisted the victim, applying a splint and giving her three tablets of a pain killer. The accident was reported to Kananaskis Rangers by phone from Barrier Information Centre at 1735. Rangers arrived at the accident site at 1810 and prepared T.C. for ground evacuation by Cascade stretcher (normally a half-hour walk on the narrow downhill trail through rubble and forest), but requested helicopter evacuation about 1825, as the victim was in extreme pain and showing symptoms of shock.
A machine from Canadian Helicopters was dispatched to the area via Bow Valley Provincial Park, and a ranger was slung to the accident site at 1920 for an aerial pickup. The victim was lowered to a Barrier Lake parking area at 1930 and attended by medical personnel before transfer to an ambulance for transport to Calgary. It reached Foothills Hospital at 2000 and T.C.’s injuries were confirmed as a fracture and dislocation of the right ankle.
Analysis
There may be a tendency, especially among new climbers, to overestimate the powers of the rope. In this case, the overall protection system was inadequate to prevent a severe and extremely troublesome injury. (Source: George Field, Alpine Specialist, Peter Lougheed Provincial Park)","Serious, Roped, Sport, Inadequate Protection / Pulled",CA,Alberta,Canada,Alberta,,,,,"['alpine', 'rock']",alpine,unknown,unknown
104,"Fall on Rock, No ""Spotting"" Protection, British Columbia, Purcell Mountains, Vowell Group",1991.0,"British Columbia, Purcell Mountains, Vowell Group
A large group from the ACC General Mountaineering Camp below the Vowell Glacier were bouldering at Tamarack Glen above the north margin of the glacier on July 27, 1990, when one of them, J.D., lost her balance on a ledge, and dropped to the ground about three meters below, doing “two spectacular leaps” on the way and striking her heels three times in all. She then had difficulty walking, because of pain.
The subject’s feet were immersed in cold water to reduce swelling, and the group then helped her to get down the exposed moraine to the Vowell Glacier and about one kilometer back to the camp. She suffered a chipped metatarsal bone in her left foot.
Analysis
The group leader had clearly advised everyone to stay low on the rocks and to have a “spotter” for protection. The subject did not take the advice seriously enough—all too easy to do in pleasant surroundings. (Source: Fred Stanley, Lee Tibbert)","Serious, Unroped , Bouldering, Alpine/Mountaineering, Large Group, Inadequate Protection / Pulled",CA,British Columbia,Canada,British Columbia,,,,,"['alpine', 'rock']",alpine,unknown,unknown
105,"Fall on Rock, No Protection, Alberta, Rocky Mountains, Grotto Creek",1991.0,"Alberta, Rocky Mountains, Grotto Creek
On May 20, 1990, W.M. fell while climbing on Grotto Slabs, sustaining cuts, scrapes, and bruises to his left hand, right thigh, and the right side of his rib cage. He contin_x001F_ued climbing for a while, before leaving with his companions to see whether a cut in his hand needed stitching. (Source: George Field, Alpine Specialist, Peter Lougheed Provincial Park)","Serious, Roped, Sport, Inadequate Protection / Pulled",CA,Alberta,Canada,Alberta,,,,,"['alpine', 'rock']",alpine,unknown,unknown
110,"Fall on Snow and Rock, Alberta, Rocky Mountains, Mount Blakiston",1991.0,"Alberta, Rocky Mountains, Mount Blakiston
On July 7, 1990, a party of five climbed the Class 4 south gully on Mount Blakiston. They were beginning their descent by traversing a small, moderately angled slope when the leader slipped and slid 15 meters into rocks, suffering a broken tibia and several gashes and contusions. With the help of his group, he was able to continue the 1000-meter descent to the valley trail. One person had been sent ahead to alert the Waterton Warden Service, who then completed the evacuation, using a wheeled mountain stretcher.
Analysis
More snow existed on this route than has been the norm for that time of year. The group carried ice axes, but no ropes or crampons, and did not appear to be aware of the immediate consequences of a fall on steep snow. By avoiding the snowfields, or being prepared to self-arrest, they may have prevented the accident. (Source: B. Kozachenko, Warden Service, Waterton Lakes National Park)","Serious, Descent, Unroped , Solo, Alpine/Mountaineering",CA,Alberta,Canada,Alberta,,,,,['alpine'],alpine,unknown,unknown
125,"Scalded by Boiling Water, British Columbia, Purcell Mountains, Bugaboo Group",1991.0,"British Columbia, Purcell Mountains, Bugaboo Group
On August 4, 1990, C.F. and B.F. were cooking in camp above Conrad Kain Hut when a pot of boiling water was knocked off a Svea stove and over the boots of C.F. Second- degree burns to both ankles resulted. The victim was evacuated from the hut by helicopter. (Source: Fred Stanley, Lee Tibbert)
Analysis
Although this accident did not involve climbing, it is included because mountaineers far from help are occasionally left injured or without shelter because of a mishap with a stove. (Source: Orvel Miskiw, AAC Calgary Section)","Serious, Non-climbing, Alpine/Mountaineering",CA,British Columbia,Canada,British Columbia,,,,,['alpine'],alpine,unknown,unknown
